case_id,doc_type,combined_text,raw_reply,total_tokens,elapsed_sec,api_error,processed
1077,judgement,"Case No. 1:00-cv-01077-JLK-KLM              Document 474        filed 03/20/09      USDC Colorado
                                             pg 1 of 2




                           IN THE UNITED STATES DISTRICT COURT
                               FOR THE DISTRICT OF COLORADO

Civil Action No. 00-cv-1077-JLK-KLM

UNITED STATES OF AMERICA, ex rel, ALI BAHRANI,

       Plaintiffs,

v.

CONAGRA, INC.; CONAGRA HIDE DIVISION; CONAGRA BEEF
COMPANIES, and MONFORT, INC.,

       Defendants.


                                  JUDGMENT
______________________________________________________________________________

       The first phase of the bifurcated trial in this reverse-false claim qui tam action commenced

on April 28, 2008 and resulted in a jury verdict finding Relator Ali Bahrani was not the original

source of his meat export certificate claims. The final phase of the bifurcated trial in this reverse-

false claim qui tam action under the False Claims Act was tried to a jury of 12 commencing

Monday, March 9, 2009. After less than a day of deliberations, the jury returned a verdict on

March 18, 2009.

       Pursuant to and in accordance with the Amended Order for Judgment entered by Senior

Judge John L. Kane on March 19, 2009, incorporated herein by reference, it is

       ORDERED:

       1.      Judgment is entered in favor of Relator and against Defendants on five of Relator’s

1000+ reverse false claims under 31 U.S.C. § 3729(a)(7) for a total amount of damages and civil

penalties of $27,822.50.

       2.      Judgment is entered in favor of Defendants and against Relator on his remaining

Case No. 1:00-cv-01077-JLK-KLM              Document 474        filed 03/20/09    USDC Colorado
                                             pg 2 of 2




995+ reverse false claims under the FCA, as well as on all of Relator’s meat-based reverse false

claims.

          3.     Relator shall be entitled to statutory post-judgment interest on the damages and

penalty award at the applicable federal rate of .70% from the date of entry of this judgment.

          4.     The parties shall bear their own costs.

          DATED at Denver, Colorado this 20th day of March, 2009.

                                                       FOR THE COURT:

                                                       GREGORY C. LANGHAM, CLERK




                                                       s/ Edward P. Butler
                                                       Edward P. Butler,
                                                       Deputy Clerk




                                                   2


--- (continued) ---

Case No. 1:00-cv-01077-JLK-KLM         Document 553      filed 12/21/10    USDC Colorado
                                        pg 1 of 1




                       IN THE UNITED STATES DISTRICT COURT
                           FOR THE DISTRICT OF COLORADO

Civil Action No. 00-cv-01077-JLK-KLM

UNITED STATES OF AMERICA, ex rel, ALI BAHRANI,

       Plaintiffs,

v.

CONAGRA, INC.; CONAGRA HIDE DIVISION; CONAGRA BEEF COMPANY;
and
MONFORT, INC.,

      Defendants.
________________________________________________________________________

                                       JUDGMENT
________________________________________________________________________

       Pursuant to and in accordance with the Order (Doc. 552) entered by Judge John L.

Kane on December 20, 2010, incorporated herein by reference, it is

       ORDERED that, in conformance with the Tenth Circuit’s directives in U.S. ex. rel.

Bahrani v. ConAgra, Inc., 624 F.3d 1275 (10th Cir. 2010), with the Mandate issued on

December 20, 2010, judgment is hereby entered in favor of Defendants on Relator’s

hide export certificate claims. This case is, and remains, otherwise closed.

       Dated this    21st day of December, 2010.

                                          FOR THE COURT:

                                          Gregory C. Langham, Clerk


                                          By: s/ Edward P. Butler
                                                 Edward P. Butler, Deputy Clerk


--- (continued) ---

Case No. 1:00-cv-01077-JLK-KLM        Document 562       filed 02/23/11   USDC Colorado
                                       pg 1 of 2




                      IN THE UNITED STATES DISTRICT COURT
                          FOR THE DISTRICT OF COLORADO

Civil Action No. 00-cv-01077-JLK-KLM

UNITED STATES OF AMERICA, ex rel, ALI BAHRANI,

       Plaintiffs,

v.

CONAGRA, INC.;
CONAGRA HIDE DIVISION;
CONAGRA BEEF COMPANY;
and
MONFORT, INC.,

      Defendants.
________________________________________________________________________

                                 AMENDED JUDGMENT
________________________________________________________________________

       Pursuant to and in accordance with the Order (Doc. 552) entered by Judge John L.

Kane on December 20, 2010, and the Order on Defendant’s Motion to Alter or Amend

Judgment (Doc. 559), incorporated herein by reference, it is

       ORDERED that, in conformance with the Tenth Circuit’s directives in U.S. ex. rel.

Bahrani v. ConAgra, Inc., 624 F.3d 1275 (10th Cir. 2010), with the Mandate issued on

December 20, 2010, judgment is hereby entered in favor of Defendants on Relator’s

hide export certificate claims. In addition, costs are awarded to the defendants pursuant

to Fed. R. Civ. P. 54(d). The Clerk notes the defendants’ Proposed Bill of Costs was

withdrawn on February 7, 2011 (Doc. 560).

       This case is, and remains, otherwise closed.

Case No. 1:00-cv-01077-JLK-KLM    Document 562      filed 02/23/11   USDC Colorado
                                   pg 2 of 2




     Dated this   23rd day of February, 2011.

                                     FOR THE COURT:

                                     Gregory C. Langham, Clerk


                                     By: s/ Edward P. Butler
                                            Edward P. Butler, Deputy Clerk


--- (continued) ---

Case No. 1:00-cv-01077-JLK-KLM              Document 474        filed 03/20/09      USDC Colorado
                                             pg 1 of 2




                           IN THE UNITED STATES DISTRICT COURT
                               FOR THE DISTRICT OF COLORADO

Civil Action No. 00-cv-1077-JLK-KLM

UNITED STATES OF AMERICA, ex rel, ALI BAHRANI,

       Plaintiffs,

v.

CONAGRA, INC.; CONAGRA HIDE DIVISION; CONAGRA BEEF
COMPANIES, and MONFORT, INC.,

       Defendants.


                                  JUDGMENT
______________________________________________________________________________

       The first phase of the bifurcated trial in this reverse-false claim qui tam action commenced

on April 28, 2008 and resulted in a jury verdict finding Relator Ali Bahrani was not the original

source of his meat export certificate claims. The final phase of the bifurcated trial in this reverse-

false claim qui tam action under the False Claims Act was tried to a jury of 12 commencing

Monday, March 9, 2009. After less than a day of deliberations, the jury returned a verdict on

March 18, 2009.

       Pursuant to and in accordance with the Amended Order for Judgment entered by Senior

Judge John L. Kane on March 19, 2009, incorporated herein by reference, it is

       ORDERED:

       1.      Judgment is entered in favor of Relator and against Defendants on five of Relator’s

1000+ reverse false claims under 31 U.S.C. § 3729(a)(7) for a total amount of damages and civil

penalties of $27,822.50.

       2.      Judgment is entered in favor of Defendants and against Relator on his remaining

Case No. 1:00-cv-01077-JLK-KLM              Document 474        filed 03/20/09    USDC Colorado
                                             pg 2 of 2




995+ reverse false claims under the FCA, as well as on all of Relator’s meat-based reverse false

claims.

          3.     Relator shall be entitled to statutory post-judgment interest on the damages and

penalty award at the applicable federal rate of .70% from the date of entry of this judgment.

          4.     The parties shall bear their own costs.

          DATED at Denver, Colorado this 20th day of March, 2009.

                                                       FOR THE COURT:

                                                       GREGORY C. LANGHAM, CLERK




                                                       s/ Edward P. Butler
                                                       Edward P. Butler,
                                                       Deputy Clerk




                                                   2
",NA,NA,NA,invalid filename argument,TRUE
1400778,verdict,"Case No. 1:14-cv-00778-REB-MEH   Document 361   filed 09/23/16   USDC Colorado
                                  pg 1 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 361   filed 09/23/16   USDC Colorado
                                  pg 2 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 361   filed 09/23/16   USDC Colorado
                                  pg 3 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 361   filed 09/23/16   USDC Colorado
                                  pg 4 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 361   filed 09/23/16   USDC Colorado
                                  pg 5 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 361   filed 09/23/16   USDC Colorado
                                  pg 6 of 6


--- (continued) ---

Case No. 1:14-cv-00778-REB-MEH   Document 363   filed 09/23/16   USDC Colorado
                                  pg 1 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 363   filed 09/23/16   USDC Colorado
                                  pg 2 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 363   filed 09/23/16   USDC Colorado
                                  pg 3 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 363   filed 09/23/16   USDC Colorado
                                  pg 4 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 363   filed 09/23/16   USDC Colorado
                                  pg 5 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 363   filed 09/23/16   USDC Colorado
                                  pg 6 of 6


--- (continued) ---

Case No. 1:14-cv-00778-REB-MEH   Document 365   filed 09/26/16   USDC Colorado
                                  pg 1 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 365   filed 09/26/16   USDC Colorado
                                  pg 2 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 365   filed 09/26/16   USDC Colorado
                                  pg 3 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 365   filed 09/26/16   USDC Colorado
                                  pg 4 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 365   filed 09/26/16   USDC Colorado
                                  pg 5 of 6

Case No. 1:14-cv-00778-REB-MEH   Document 365   filed 09/26/16   USDC Colorado
                                  pg 6 of 6
",NA,NA,NA,invalid filename argument,TRUE
